,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
218,0020800219,0020800219,1610612762,1610612763,2008-11-26T00:00:00,4,0,Utah,2008-2009
219,0020800220,0020800220,1610612757,1610612748,2008-11-26T00:00:00,2,0,Portland,2008-2009
220,0020800221,0020800221,1610612758,1610612751,2008-11-26T00:00:00,0,2,New Jersey,2008-2009
221,0020800222,0020800222,1610612746,1610612743,2008-11-26T00:00:00,0,4,Denver,2008-2009
222,0020800223,0020800223,1610612764,1610612753,2008-11-27T00:00:00,0,4,Orlando,2008-2009
223,0020800224,0020800224,1610612743,1610612740,2008-11-27T00:00:00,2,2,Tied,2008-2009
224,0020800225,0020800225,1610612761,1610612737,2008-11-28T00:00:00,1,3,Atlanta,2008-2009
225,0020800226,0020800226,1610612738,1610612755,2008-11-28T00:00:00,4,0,Boston,2008-2009
226,0020800227,0020800227,1610612739,1610612744,2008-11-28T00:00:00,2,0,Cleveland,2008-2009
227,0020800228,0020800228,1610612765,1610612749,2008-11-28T00:00:00,3,1,Detroit,2008-2009
228,0020800229,0020800229,1610612754,1610612766,2008-11-28T00:00:00,2,2,Tied,2008-2009
229,0020800230,0020800230,1610612760,1610612750,2008-11-28T00:00:00,2,2,Tied,2008-2009
230,0020800231,0020800231,1610612756,1610612748,2008-11-28T00:00:00,0,2,Miami,2008-2009
231,0020800232,0020800232,1610612759,1610612763,2008-11-28T00:00:00,4,0,San Antonio,2008-2009
232,0020800233,0020800233,1610612762,1610612758,2008-11-28T00:00:00,4,0,Utah,2008-2009
233,0020800234,0020800234,1610612757,1610612740,2008-11-28T00:00:00,2,2,Tied,2008-2009
234,0020800235,0020800235,1610612747,1610612742,2008-11-28T00:00:00,3,0,L.A. Lakers,2008-2009
235,0020800236,0020800236,1610612766,1610612738,2008-11-29T00:00:00,1,2,Boston,2008-2009
236,0020800237,0020800237,1610612753,1610612754,2008-11-29T00:00:00,3,1,Orlando,2008-2009
237,0020800238,0020800238,1610612764,1610612737,2008-11-29T00:00:00,0,4,Atlanta,2008-2009
238,0020800239,0020800239,1610612752,1610612744,2008-11-29T00:00:00,1,1,Tied,2008-2009
239,0020800240,0020800240,1610612763,1610612760,2008-11-29T00:00:00,1,3,Oklahoma City,2008-2009
240,0020800241,0020800241,1610612750,1610612743,2008-11-29T00:00:00,0,4,Denver,2008-2009
241,0020800242,0020800242,1610612745,1610612759,2008-11-29T00:00:00,2,2,Tied,2008-2009
242,0020800243,0020800243,1610612749,1610612739,2008-11-29T00:00:00,0,4,Cleveland,2008-2009
243,0020800244,0020800244,1610612762,1610612751,2008-11-29T00:00:00,1,1,Tied,2008-2009
244,0020800245,0020800245,1610612758,1610612742,2008-11-29T00:00:00,1,3,Dallas,2008-2009
245,0020800246,0020800246,1610612746,1610612748,2008-11-29T00:00:00,1,1,Tied,2008-2009
246,0020800247,0020800247,1610612765,1610612757,2008-11-30T00:00:00,0,2,Portland,2008-2009
247,0020800248,0020800248,1610612755,1610612741,2008-11-30T00:00:00,2,2,Tied,2008-2009
248,0020800249,0020800249,1610612743,1610612745,2008-11-30T00:00:00,1,3,Houston,2008-2009
249,0020800250,0020800250,1610612756,1610612751,2008-11-30T00:00:00,1,1,Tied,2008-2009
250,0020800251,0020800251,1610612747,1610612761,2008-11-30T00:00:00,2,0,L.A. Lakers,2008-2009
251,0020800252,0020800252,1610612766,1610612750,2008-12-01T00:00:00,1,1,Tied,2008-2009
252,0020800253,0020800253,1610612738,1610612753,2008-12-01T00:00:00,2,2,Tied,2008-2009
253,0020800254,0020800254,1610612744,1610612748,2008-12-01T00:00:00,0,2,Miami,2008-2009
254,0020800255,0020800255,1610612754,1610612747,2008-12-02T00:00:00,1,1,Tied,2008-2009
255,0020800256,0020800256,1610612751,1610612764,2008-12-02T00:00:00,2,2,Tied,2008-2009
256,0020800257,0020800257,1610612752,1610612757,2008-12-02T00:00:00,0,2,Portland,2008-2009
257,0020800258,0020800258,1610612741,1610612755,2008-12-02T00:00:00,2,2,Tied,2008-2009
258,0020800259,0020800259,1610612742,1610612746,2008-12-02T00:00:00,3,1,Dallas,2008-2009
259,0020800260,0020800260,1610612759,1610612765,2008-12-02T00:00:00,1,1,Tied,2008-2009
260,0020800261,0020800261,1610612743,1610612761,2008-12-02T00:00:00,2,0,Denver,2008-2009
261,0020800262,0020800262,1610612758,1610612762,2008-12-02T00:00:00,0,4,Utah,2008-2009
262,0020800263,0020800263,1610612737,1610612763,2008-12-03T00:00:00,1,1,Tied,2008-2009
263,0020800264,0020800264,1610612766,1610612760,2008-12-03T00:00:00,1,1,Tied,2008-2009
264,0020800265,0020800265,1610612739,1610612752,2008-12-03T00:00:00,4,0,Cleveland,2008-2009
265,0020800266,0020800266,1610612753,1610612750,2008-12-03T00:00:00,2,0,Orlando,2008-2009
266,0020800267,0020800267,1610612755,1610612747,2008-12-03T00:00:00,1,1,Tied,2008-2009
267,0020800268,0020800268,1610612764,1610612757,2008-12-03T00:00:00,0,2,Portland,2008-2009
268,0020800269,0020800269,1610612738,1610612754,2008-12-03T00:00:00,3,1,Boston,2008-2009
269,0020800270,0020800270,1610612749,1610612741,2008-12-03T00:00:00,1,3,Chicago,2008-2009
270,0020800271,0020800271,1610612740,1610612756,2008-12-03T00:00:00,2,1,New Orleans,2008-2009
271,0020800272,0020800272,1610612745,1610612746,2008-12-03T00:00:00,3,1,Houston,2008-2009
272,0020800273,0020800273,1610612762,1610612748,2008-12-03T00:00:00,0,2,Miami,2008-2009
