,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
83,0020800084,2008-11-08T00:00:00,6,0020800084,3,Final,20081108/MINPOR,1610612757,1610612750,2008-2009,4, ,,Q4   - ,1
84,0020800085,2008-11-09T00:00:00,1,0020800085,3,Final,20081109/TORCHA,1610612766,1610612761,2008-2009,4, ,,Q4   - ,1
85,0020800086,2008-11-09T00:00:00,2,0020800086,3,Final,20081109/UTANYK,1610612752,1610612762,2008-2009,4, ,,Q4   - ,1
86,0020800087,2008-11-09T00:00:00,3,0020800087,3,Final,20081109/DALLAC,1610612746,1610612742,2008-2009,4, ,,Q4   - ,1
87,0020800088,2008-11-09T00:00:00,4,0020800088,3,Final,20081109/BOSDET,1610612765,1610612738,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
88,0020800089,2008-11-09T00:00:00,5,0020800089,3,Final,20081109/ATLOKC,1610612760,1610612737,2008-2009,4, ,,Q4   - ,1
89,0020800090,2008-11-09T00:00:00,6,0020800090,3,Final,20081109/MEMDEN,1610612743,1610612763,2008-2009,4, ,,Q4   - ,1
90,0020800091,2008-11-09T00:00:00,7,0020800091,3,Final,20081109/GSWSAC,1610612758,1610612744,2008-2009,4, ,,Q4   - ,1
91,0020800092,2008-11-09T00:00:00,8,0020800092,3,Final,20081109/HOULAL,1610612747,1610612745,2008-2009,4, ,,Q4   - ,1
92,0020800093,2008-11-10T00:00:00,1,0020800093,3,Final,20081110/OKCIND,1610612754,1610612760,2008-2009,4, ,,Q4   - ,1
93,0020800094,2008-11-10T00:00:00,2,0020800094,3,Final,20081110/PORORL,1610612753,1610612757,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
94,0020800095,2008-11-10T00:00:00,3,0020800095,3,Final,20081110/TORBOS,1610612738,1610612761,2008-2009,4, ,,Q4   - ,1
95,0020800096,2008-11-10T00:00:00,4,0020800096,3,Final,20081110/NJNMIA,1610612748,1610612751,2008-2009,4, ,,Q4   - ,1
96,0020800097,2008-11-10T00:00:00,5,0020800097,3,Final,20081110/MEMPHX,1610612756,1610612763,2008-2009,4, ,,Q4   - ,1
97,0020800098,2008-11-11T00:00:00,1,0020800098,3,Final,20081111/DENCHA,1610612766,1610612743,2008-2009,4, ,,Q4   - ,1
98,0020800099,2008-11-11T00:00:00,2,0020800099,3,Final,20081111/MILCLE,1610612739,1610612749,2008-2009,4, ,,Q4   - ,1
99,0020800100,2008-11-11T00:00:00,3,0020800100,3,Final,20081111/UTAPHI,1610612755,1610612762,2008-2009,4, ,,Q4   - ,1
100,0020800101,2008-11-11T00:00:00,4,0020800101,3,Final,20081111/ATLCHI,1610612741,1610612737,2008-2009,4, ,,Q4   - ,1
101,0020800102,2008-11-11T00:00:00,5,0020800102,3,Final,20081111/LALDAL,1610612742,1610612747,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
102,0020800103,2008-11-11T00:00:00,6,0020800103,3,Final,20081111/NYKSAS,1610612759,1610612752,2008-2009,4, ,,Q4   - ,1
103,0020800104,2008-11-11T00:00:00,7,0020800104,3,Final,20081111/DETSAC,1610612758,1610612765,2008-2009,4, ,,Q4   - ,1
104,0020800105,2008-11-11T00:00:00,8,0020800105,3,Final,20081111/MINGSW,1610612744,1610612750,2008-2009,5, ,,Q5   - ,1
105,0020800106,2008-11-12T00:00:00,1,0020800106,3,Final,20081112/PHITOR,1610612761,1610612755,2008-2009,4, ,,Q4   - ,1
106,0020800107,2008-11-12T00:00:00,2,0020800107,3,Final,20081112/ATLBOS,1610612738,1610612737,2008-2009,4, ,,Q4   - ,1
107,0020800108,2008-11-12T00:00:00,4,0020800108,3,Final,20081112/PORMIA,1610612748,1610612757,2008-2009,4, ,ESPN,Q4   - ESPN,1
108,0020800109,2008-11-12T00:00:00,3,0020800109,3,Final,20081112/INDNJN,1610612751,1610612754,2008-2009,4, ,,Q4   - ,1
109,0020800110,2008-11-12T00:00:00,5,0020800110,3,Final,20081112/NYKMEM,1610612763,1610612752,2008-2009,4, ,,Q4   - ,1
110,0020800111,2008-11-12T00:00:00,6,0020800111,3,Final,20081112/SASMIL,1610612749,1610612759,2008-2009,4, ,,Q4   - ,1
111,0020800112,2008-11-12T00:00:00,7,0020800112,3,Final,20081112/LALNOH,1610612740,1610612747,2008-2009,4, ,,Q4   - ,1
112,0020800113,2008-11-12T00:00:00,8,0020800113,3,Final,20081112/ORLOKC,1610612760,1610612753,2008-2009,4, ,,Q4   - ,1
113,0020800114,2008-11-12T00:00:00,9,0020800114,3,Final,20081112/UTAWAS,1610612764,1610612762,2008-2009,4, ,,Q4   - ,1
114,0020800115,2008-11-12T00:00:00,10,0020800115,3,Final,20081112/SACLAC,1610612746,1610612758,2008-2009,4, ,,Q4   - ,1
115,0020800116,2008-11-12T00:00:00,11,0020800116,3,Final,20081112/HOUPHX,1610612756,1610612745,2008-2009,4, ,ESPN,Q4   - ESPN,1
116,0020800117,2008-11-13T00:00:00,1,0020800117,3,Final,20081113/DENCLE,1610612739,1610612743,2008-2009,4, ,TNT,Q4   - TNT,1
117,0020800118,2008-11-13T00:00:00,2,0020800118,3,Final,20081113/DALCHI,1610612741,1610612742,2008-2009,4, ,,Q4   - ,1
118,0020800119,2008-11-13T00:00:00,3,0020800119,3,Final,20081113/DETGSW,1610612744,1610612765,2008-2009,4, ,TNT,Q4   - TNT,1
119,0020800120,2008-11-14T00:00:00,1,0020800120,3,Final,20081114/UTACHA,1610612766,1610612762,2008-2009,4, ,,Q4   - ,1
120,0020800121,2008-11-14T00:00:00,2,0020800121,3,Final,20081114/PHIIND,1610612754,1610612755,2008-2009,4, ,,Q4   - ,1
121,0020800122,2008-11-14T00:00:00,3,0020800122,3,Final,20081114/WASMIA,1610612748,1610612764,2008-2009,4, ,,Q4   - ,1
122,0020800123,2008-11-14T00:00:00,4,0020800123,3,Final,20081114/ATLNJN,1610612751,1610612737,2008-2009,4, ,,Q4   - ,1
123,0020800124,2008-11-14T00:00:00,5,0020800124,3,Final,20081114/OKCNYK,1610612752,1610612760,2008-2009,4, ,,Q4   - ,1
124,0020800125,2008-11-14T00:00:00,6,0020800125,3,Final,20081114/DENBOS,1610612738,1610612743,2008-2009,4, ,ESPN,Q4   - ESPN,1
125,0020800126,2008-11-14T00:00:00,7,0020800126,3,Final,20081114/MILMEM,1610612763,1610612749,2008-2009,5, ,,Q5   - ,1
126,0020800127,2008-11-14T00:00:00,8,0020800127,3,Final,20081114/PORNOH,1610612740,1610612757,2008-2009,4, ,,Q4   - ,1
127,0020800128,2008-11-14T00:00:00,9,0020800128,3,Final,20081114/ORLDAL,1610612742,1610612753,2008-2009,4, ,,Q4   - ,1
128,0020800129,2008-11-14T00:00:00,10,0020800129,3,Final,20081114/HOUSAS,1610612759,1610612745,2008-2009,4, ,,Q4   - ,1
129,0020800130,2008-11-14T00:00:00,11,0020800130,3,Final,20081114/PHXSAC,1610612758,1610612756,2008-2009,5, ,,Q5   - ,1
130,0020800131,2008-11-14T00:00:00,12,0020800131,3,Final,20081114/DETLAL,1610612747,1610612765,2008-2009,4, ,ESPN,Q4   - ESPN,1
131,0020800132,2008-11-15T00:00:00,1,0020800132,3,Final,20081115/GSWLAC,1610612746,1610612744,2008-2009,4, ,,Q4   - ,1
132,0020800133,2008-11-15T00:00:00,2,0020800133,3,Final,20081115/NJNATL,1610612737,1610612751,2008-2009,4, ,,Q4   - ,1
133,0020800134,2008-11-15T00:00:00,3,0020800134,3,Final,20081115/OKCPHI,1610612755,1610612760,2008-2009,4, ,,Q4   - ,1
134,0020800135,2008-11-15T00:00:00,4,0020800135,3,Final,20081115/UTACLE,1610612739,1610612762,2008-2009,4, ,,Q4   - ,1
135,0020800136,2008-11-15T00:00:00,5,0020800136,3,Final,20081115/PORMIN,1610612750,1610612757,2008-2009,4, ,,Q4   - ,1
136,0020800137,2008-11-15T00:00:00,6,0020800137,3,Final,20081115/INDCHI,1610612741,1610612754,2008-2009,4, ,,Q4   - ,1
137,0020800138,2008-11-15T00:00:00,7,0020800138,3,Final,20081115/NOHHOU,1610612745,1610612740,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
138,0020800139,2008-11-15T00:00:00,8,0020800139,3,Final,20081115/BOSMIL,1610612749,1610612738,2008-2009,5, ,,Q5   - ,1
139,0020800140,2008-11-16T00:00:00,1,0020800140,3,Final,20081116/MIATOR,1610612761,1610612748,2008-2009,4, ,,Q4   - ,1
140,0020800141,2008-11-16T00:00:00,2,0020800141,3,Final,20081116/ORLCHA,1610612766,1610612753,2008-2009,4, ,,Q4   - ,1
141,0020800142,2008-11-16T00:00:00,3,0020800142,3,Final,20081116/DALNYK,1610612752,1610612742,2008-2009,5, ,,Q5   - ,1
142,0020800143,2008-11-16T00:00:00,4,0020800143,3,Final,20081116/MINDEN,1610612743,1610612750,2008-2009,4, ,,Q4   - ,1
143,0020800144,2008-11-16T00:00:00,5,0020800144,3,Final,20081116/DETPHX,1610612756,1610612765,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
144,0020800145,2008-11-16T00:00:00,6,0020800145,3,Final,20081116/SASSAC,1610612758,1610612759,2008-2009,4, ,,Q4   - ,1
145,0020800146,2008-11-17T00:00:00,1,0020800146,3,Final,20081117/HOUOKC,1610612760,1610612745,2008-2009,4, ,,Q4   - ,1
146,0020800147,2008-11-17T00:00:00,2,0020800147,3,Final,20081117/PHXUTA,1610612762,1610612756,2008-2009,4, ,,Q4   - ,1
147,0020800148,2008-11-17T00:00:00,3,0020800148,3,Final,20081117/SASLAC,1610612746,1610612759,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
148,0020800149,2008-11-18T00:00:00,1,0020800149,3,Final,20081118/DALCHA,1610612766,1610612742,2008-2009,4, ,,Q4   - ,1
149,0020800150,2008-11-18T00:00:00,2,0020800150,3,Final,20081118/ATLIND,1610612754,1610612737,2008-2009,4, ,,Q4   - ,1
150,0020800151,2008-11-18T00:00:00,3,0020800151,3,Final,20081118/TORORL,1610612753,1610612761,2008-2009,4, ,,Q4   - ,1
151,0020800152,2008-11-18T00:00:00,4,0020800152,3,Final,20081118/MIAWAS,1610612764,1610612748,2008-2009,4, ,,Q4   - ,1
152,0020800153,2008-11-18T00:00:00,5,0020800153,3,Final,20081118/NYKBOS,1610612738,1610612752,2008-2009,4, ,,Q4   - ,1
153,0020800154,2008-11-18T00:00:00,6,0020800154,3,Final,20081118/CLENJN,1610612751,1610612739,2008-2009,4, ,,Q4   - ,1
