,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
3627,0021001209,1154,Bob,Delaney,26,2010-2011
3628,0021001210,1199,Tom,Washington,49,2010-2011
3629,0021001210,1164,Ron,Garretson,10,2010-2011
3630,0021001210,202058,James,Williams,60,2010-2011
3631,0021001211,1176,Monty,McCutchen,13,2010-2011
3632,0021001211,2003,Pat,Fraher,52,2010-2011
3633,0021001211,201245,Marat,Kogut,68,2010-2011
3634,0021001212,1168,David,Jones,36,2010-2011
3635,0021001212,1192,Bennett,Salvatore,15,2010-2011
3636,0021001212,202007,Nick,Buchert,54,2010-2011
3637,0021001213,1152,Dan,Crawford,43,2010-2011
3638,0021001213,1146,Tony,Brothers,25,2010-2011
3639,0021001213,1159,Kevin,Fehr,7,2010-2011
3640,0021001214,1199,Tom,Washington,49,2010-2011
3641,0021001214,1164,Ron,Garretson,10,2010-2011
3642,0021001214,1188,Leroy,Richardson,20,2010-2011
3643,0021001215,1162,Scott,Foster,48,2010-2011
3644,0021001215,1179,Rodney,Mott,71,2010-2011
3645,0021001215,1363,Bennie,Adams,47,2010-2011
3646,0021001216,1195,Derrick,Stafford,9,2010-2011
3647,0021001216,1167,Steve,Javie,29,2010-2011
3648,0021001216,201246,Kevin,Cutler,34,2010-2011
3649,0021001217,1152,Dan,Crawford,43,2010-2011
3650,0021001217,1193,Michael,Smith,38,2010-2011
3651,0021001217,2002,Derrick,Collins,11,2010-2011
3652,0021001218,1830,Marc,Davis,8,2010-2011
3653,0021001218,2529,Tony,Brown,6,2010-2011
3654,0021001218,200833,Eric,Dalen,75,2010-2011
3655,0021001219,101284,John,Goble,30,2010-2011
3656,0021001219,101283,Brian,Forte,45,2010-2011
3657,0021001219,1154,Bob,Delaney,26,2010-2011
3658,0021001220,1147,Mike,Callahan,24,2010-2011
3659,0021001220,1198,Scott,Wall,31,2010-2011
3660,0021001220,2882,Sean,Wright,65,2010-2011
3661,0021001221,2715,Eric,Lewis,42,2010-2011
3662,0021001221,1142,Dick,Bavetta,27,2010-2011
3663,0021001221,201637,Haywoode,Workman,66,2010-2011
3664,0021001222,1174,Ken,Mauer,41,2010-2011
3665,0021001222,2004,Courtney,Kirkland,61,2010-2011
3666,0021001222,201640,Kane,Fitzgerald,35,2010-2011
3667,0021001223,1664,Gary,Zielinski,59,2010-2011
3668,0021001223,2714,David,Guthrie,16,2010-2011
3669,0021001223,1200,Greg,Willard,57,2010-2011
3670,0021001224,2534,Zach,Zarba,33,2010-2011
3671,0021001224,2005,Matt,Boland,46,2010-2011
3672,0021001224,200834,Mark,Lindsay,53,2010-2011
3673,0021001225,2001,Jason,Phillips,23,2010-2011
3674,0021001225,1153,Joe,Crawford,17,2010-2011
3675,0021001225,2716,Olandis,Poole,50,2010-2011
3676,0021001226,1176,Monty,McCutchen,13,2010-2011
3677,0021001226,2003,Pat,Fraher,52,2010-2011
3678,0021001226,201245,Marat,Kogut,68,2010-2011
3679,0021001227,1201,Leon,Wood,40,2010-2011
3680,0021001227,1194,Bill,Spooner,22,2010-2011
3681,0021001227,202007,Nick,Buchert,54,2010-2011
3682,0021001228,1162,Scott,Foster,48,2010-2011
3683,0021001228,1363,Bennie,Adams,47,2010-2011
3684,0021001228,202058,James,Williams,60,2010-2011
3685,0021001229,1168,David,Jones,36,2010-2011
3686,0021001229,1204,Derek,Richardson,63,2010-2011
3687,0021001229,1192,Bennett,Salvatore,15,2010-2011
3688,0021001230,1662,Bill,Kennedy,55,2010-2011
3689,0021001230,1188,Leroy,Richardson,20,2010-2011
3690,0021001230,2148,Mark,Ayotte,56,2010-2011
