,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
969,0021500485,00,1610612745,HOU,Houston,34,6,21,8,3,9,0,15,9,14,2015-2016
970,0021500486,00,1610612765,DET,Detroit,44,19,23,27,1,1,1,17,11,16,2015-2016
971,0021500486,00,1610612750,MIN,Minnesota,40,8,10,9,1,1,1,16,10,11,2015-2016
972,0021500487,00,1610612740,NOP,New Orleans,44,7,16,8,3,6,1,16,14,24,2015-2016
973,0021500487,00,1610612746,LAC,LA,32,24,9,11,3,6,0,12,7,11,2015-2016
974,0021500488,00,1610612756,PHX,Phoenix,56,18,7,4,16,17,1,17,3,23,2015-2016
975,0021500488,00,1610612760,OKC,Oklahoma City,48,16,23,9,16,17,0,13,6,23,2015-2016
976,0021500489,00,1610612762,UTA,Utah,32,14,6,29,4,3,1,6,4,9,2015-2016
977,0021500489,00,1610612757,POR,Portland,26,9,10,4,4,3,1,11,8,24,2015-2016
978,0021500490,00,1610612764,WAS,Washington,42,11,24,14,5,5,1,10,5,14,2015-2016
979,0021500490,00,1610612753,ORL,Orlando,40,8,14,7,5,5,1,16,7,15,2015-2016
980,0021500491,00,1610612748,MIA,Miami,40,10,10,26,0,1,1,13,5,6,2015-2016
981,0021500491,00,1610612742,DAL,Dallas,38,12,0,0,0,1,0,9,3,2,2015-2016
982,0021500492,00,1610612761,TOR,Toronto,32,26,0,10,14,19,0,13,6,14,2015-2016
983,0021500492,00,1610612766,CHA,Charlotte,40,8,9,9,14,19,1,11,6,17,2015-2016
984,0021500493,00,1610612752,NYK,New York,30,8,3,2,2,1,1,12,5,15,2015-2016
985,0021500493,00,1610612741,CHI,Chicago,34,16,12,27,2,1,1,8,7,8,2015-2016
986,0021500494,00,1610612747,LAL,Los Angeles,40,7,29,16,13,7,2,12,11,7,2015-2016
987,0021500494,00,1610612755,PHI,Philadelphia,44,10,16,5,13,7,0,16,10,14,2015-2016
988,0021500495,00,1610612738,BOS,Boston,46,16,18,4,12,6,0,14,9,17,2015-2016
989,0021500495,00,1610612751,BKN,Brooklyn,46,14,6,13,12,6,0,14,6,13,2015-2016
990,0021500496,00,1610612756,PHX,Phoenix,32,9,17,4,7,8,0,16,7,22,2015-2016
991,0021500496,00,1610612758,SAC,Sacramento,60,14,17,26,7,8,1,15,8,21,2015-2016
992,0021500497,00,1610612760,OKC,Oklahoma City,24,10,17,20,0,1,2,14,13,10,2015-2016
993,0021500497,00,1610612766,CHA,Charlotte,32,7,16,0,0,1,0,4,14,6,2015-2016
